MS01BRED
Wavelength = 1.54059
13.9866	12.00
14.0071	8.00
14.0275	15.00
14.0479	18.00
14.0683	22.00
14.0888	15.00
14.1092	16.00
14.1296	16.00
14.15	13.00
14.1705	16.00
14.1909	17.00
14.2113	11.00
14.2317	14.00
14.2522	16.00
14.2726	18.00
14.293	15.00
14.3134	15.00
14.3339	15.00
14.3543	12.00
14.3747	22.00
14.3951	18.00
14.4156	11.00
14.436	14.00
14.4564	20.00
14.4768	14.00
14.4973	13.00
14.5177	13.00
14.5381	13.00
14.5585	14.00
14.5789	24.00
14.5994	14.00
14.6198	19.00
14.6402	16.00
14.6606	14.00
14.6811	16.00
14.7015	11.00
14.7219	13.00
14.7423	16.00
14.7628	20.00
14.7832	10.00
14.8036	15.00
14.824	12.00
14.8445	14.00
14.8649	11.00
14.8853	16.00
14.9057	8.00
14.9262	16.00
14.9466	11.00
14.967	12.00
14.9874	14.00
15.0079	20.00
15.0283	21.00
15.0487	14.00
15.0691	18.00
15.0896	9.00
15.11	11.00
15.1304	12.00
15.1508	13.00
15.1713	20.00
15.1917	11.00
15.2121	14.00
15.2325	16.00
15.2529	15.00
15.2734	9.00
15.2938	16.00
15.3142	22.00
15.3346	19.00
15.3551	11.00
15.3755	6.00
15.3959	11.00
15.4163	15.00
15.4368	21.00
15.4572	15.00
15.4776	24.00
15.498	11.00
15.5185	14.00
15.5389	14.00
15.5593	10.00
15.5797	12.00
15.6002	10.00
15.6206	14.00
15.641	12.00
15.6614	9.00
15.6819	13.00
15.7023	9.00
15.7227	12.00
15.7431	12.00
15.7636	10.00
15.784	22.00
15.8044	8.00
15.8248	14.00
15.8452	19.00
15.8657	15.00
15.8861	15.00
15.9065	17.00
15.9269	20.00
15.9474	13.00
15.9678	21.00
15.9882	8.00
16.0086	14.00
16.0291	4.00
16.0495	10.00
16.0699	20.00
16.0903	15.00
16.1108	12.00
16.1312	15.00
16.1516	13.00
16.172	12.00
16.1925	15.00
16.2129	9.00
16.2333	15.00
16.2537	9.00
16.2742	9.00
16.2946	15.00
16.315	23.00
16.3354	13.00
16.3559	19.00
16.3763	15.00
16.3967	9.00
16.4171	11.00
16.4376	13.00
16.458	13.00
16.4784	15.00
16.4988	14.00
16.5192	14.00
16.5397	14.00
16.5601	15.00
16.5805	6.00
16.6009	16.00
16.6214	16.00
16.6418	11.00
16.6622	8.00
16.6826	16.00
16.7031	10.00
16.7235	10.00
16.7439	7.00
16.7643	15.00
16.7848	10.00
16.8052	12.00
16.8256	14.00
16.846	13.00
16.8665	16.00
16.8869	12.00
16.9073	9.00
16.9277	14.00
16.9482	13.00
16.9686	13.00
16.989	18.00
17.0094	12.00
17.0299	7.00
17.0503	10.00
17.0707	9.00
17.0911	16.00
17.1115	10.00
17.132	18.00
17.1524	17.00
17.1728	17.00
17.1932	14.00
17.2137	21.00
17.2341	21.00
17.2545	37.00
17.2749	36.00
17.2954	31.00
17.3158	58.00
17.3362	91.00
17.3566	88.00
17.3771	102.00
17.3975	71.00
17.4179	61.00
17.4383	47.00
17.4588	35.00
17.4792	27.00
17.4996	23.00
17.52	33.00
17.5405	17.00
17.5609	13.00
17.5813	32.00
17.6017	16.00
17.6222	16.00
17.6426	18.00
